湖北,#genre#
夷陵综合,http://yc.jollys.top:8012/udp/239.69.1.238:11070
宜昌综合,http://yc.jollys.top:8012/udp/239.69.1.67:10042$高清
宜昌综合,http://yc.jollys.top:8012/udp/239.253.152.153:8992$标清
湖北卫视,http://yc.jollys.top:8012/udp/239.253.152.115:8664
湖北公共,http://yc.jollys.top:8012/udp/239.69.1.40:9880
湖北教育,http://yc.jollys.top:8012/udp/239.69.1.206:10878
湖北经视,http://yc.jollys.top:8012/udp/239.69.1.41:9886
湖北垄上,http://yc.jollys.top:8012/udp/239.69.1.43:9898
湖北生活,http://yc.jollys.top:8012/udp/239.69.1.205:10872
湖北影视,http://yc.jollys.top:8012/udp/239.69.1.204:10866
湖北综合,http://yc.jollys.top:8012/udp/239.69.1.42:9892
央视,#genre#
CCTV-1,http://yc.jollys.top:8012/udp/239.253.152.96:8550
CCTV-2,http://yc.jollys.top:8012/udp/239.69.1.102:10250
CCTV-3,http://yc.jollys.top:8012/udp/239.69.1.122:10370
CCTV-4,http://yc.jollys.top:8012/udp/239.69.1.138:10466
CCTV-5,http://yc.jollys.top:8012/udp/239.69.1.123:10376
CCTV-5,http://yc.jollys.top:8012/udp/239.69.1.13:9718
CCTV-6,http://yc.jollys.top:8012/udp/239.69.1.124:10382
CCTV-7,http://yc.jollys.top:8012/udp/239.69.1.103:10256
CCTV-8,http://yc.jollys.top:8012/udp/239.69.1.125:10388
CCTV-9,http://yc.jollys.top:8012/udp/239.69.1.104:10262
CCTV-10,http://yc.jollys.top:8012/udp/239.69.1.105:10268
CCTV-11,http://yc.jollys.top:8012/udp/239.69.1.154:10560
CCTV-12,http://yc.jollys.top:8012/udp/239.69.1.106:10274
CCTV-13,http://yc.jollys.top:8012/udp/239.253.152.161:9040
CCTV-14,http://yc.jollys.top:8012/udp/239.69.1.107:10280
CCTV-15,http://yc.jollys.top:8012/udp/239.69.1.155:10566
CCTV-16,http://yc.jollys.top:8012/udp/239.69.1.247:11124
CCTV-17,http://yc.jollys.top:8012/udp/239.69.1.152:10548
CCTV-5+,http://yc.jollys.top:8012/udp/239.253.152.234:9484
